Name,Tags,Original price,Discount,Offer price
Warhammer: Vermintide 2,"['Co-op', 'First-Person', 'Games Workshop']","27,99",-80%,"5,59"
Cities: Skylines,"['City Builder', 'Simulation', 'Building']","27,99",-70%,"8,39"
Dying Light 2 Stay Human,"['Co-op', 'Parkour', 'Zombies']","59,99",-45%,"32,99"
Sid Meier’s Civilization® VI,"['Strategy', 'Turn-Based Strategy', 'Historical']","59,99",-90%,"5,99"
Dead Cells,"['Adventure', 'Action Roguelike', 'Souls-like']","24,99",-40%,"14,99"
Deep Rock Galactic,"['Co-op', 'PvE', 'FPS']","29,99",-67%,"9,89"
City Bus Manager,"['Simulation', 'Singleplayer', 'Economy']","27,99",-11%,"24,91"
Devil May Cry 5,"['Action', 'Hack and Slash', 'Great Soundtrack']","29,99",-67%,"9,89"
ASTRONEER,"['Multiplayer', 'Open World', 'Open World Survival Craft']","27,99",-50%,"13,99"
